Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A Ka-Band CMOS Variable Gain Amplifier with High Gain Resolution and Low Phase Variation,10.1109/APMC47863.2020.9331365,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9331365,1
1,1,Wideband Variable-Gain Amplifiers Based on a Pseudo-Current-Steering Gain-Tuning Technique,10.1109/APCCAS47518.2019.8953084,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8953084,1
1,2,A 16–24-GHz SiGe Decibel-Linear Low-Gain-Error Digitally Controlled High-Efficiency Variable Gain Amplifier,10.1109/LMWC.2021.3138845,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9677013,1
1,3,An 84 dB-gain-range and 1 GHz-bandwidth variable gain amplifier using gain flattening capacitors for multi-gigabit radio,10.1109/RWS.2013.6486694,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6486694,1
1,4,Low Power VLSI Architecture for Variable Gain Amplifier Using Pseudo Current Steering Gain Tuning Method,10.1109/WCONF61366.2024.10692229,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10692229,1
1,5,A Compact Variable Gain Amplifier With Continuous Time-Gain Compensation Using Systematic Predistorted Gain Control,10.1109/TCSII.2021.3090424,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9459779,1
1,6,Design and Implementation of Low Noise Amplifier and Variable Gain Amplifier for ECG Systems,10.1109/I2CT54291.2022.9824947,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9824947,1
1,7,A 10–67 GHz 1.44 mW 20.7 dB Gain VGA-Embedded Downconversion Mixer With 40 dB Variable Gain Range,10.1109/LMWC.2014.2316244,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6810186,1
1,8,A 1GHz CMOS variable gain amplifier with 70dB linear-in-magnitude controlled gain range for UWB systems,10.1109/APCC.2009.5375656,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5375656,1
1,9,An Ultra-low Noise Variable Gain Amplifier with Accurate dB-Linear Characteristic,10.1109/ICECS49266.2020.9294852,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9294852,1
1,10,A 0.96-mW dB-Linear Variable Gain Amplifier With 0.4-dB Linearity Error Over a 62.4-dB Gain Tuning Range,10.1109/LSSC.2022.3213055,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9914574,1
1,11,An all CMOS 743 MHz variable gain amplifier for UWB systems,10.1109/ISCAS.2006.1692676,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1692676,1
1,12,C-band digitally controlled variable gain amplifier design,10.1109/USBEREIT.2018.8384612,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8384612,1
1,13,Wideband Variable Gain Amplifier for D-band Backhaul Transceiver in 55nm BiCMOS Technology,10.1109/APMC46564.2019.9038683,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9038683,1
1,14,Variable Gain Amplifier Based on MIFGMOS Transistor for Low Voltage Applications,10.1109/ICM50269.2020.9331770,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9331770,1
